"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19723762","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090543","","2167.99","1","19890856","5967256800","S1_3_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723761","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090542","","2063.06","1","18937221","5681166300","S1_2_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723759","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090539","","3216.67","1","29176255","8752876500","S1_1_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19296223","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696742","","1612.58","1","118903635","5945181750","SOS1817A10","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296222","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696741","","1483.3","1","109803241","5490162050","SOS1817A9","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296221","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696740","","6327.94","1","208476022","21056078222","SOS1817A8","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296220","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696739","","4406.48","1","140067906","14146858506","SOS1817A7","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296219","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696738","","5128.81","1","165461364","16711597764","SOS1817A6","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296218","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696737","","1464.45","1","106125895","5306294750","SOS1817A5","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296217","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696736","","1588.04","1","114482574","5724128700","SOS1817A4","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296216","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696735","","1008.96","1","72942080","3647104000","SOS1817A25","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296215","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696734","","1946.34","1","140326847","7016342350","SOS1817A24","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296214","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696733","","1408.55","1","101627502","5081375100","SOS1817A23","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296213","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696732","","1643.72","1","118816513","5940825650","SOS1817A22","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296211","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696730","","2445.93","1","178921175","8946058750","SOS1817A3","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296206","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696725","","5160.78","1","159615073","16121122373","SOS1817A16","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296205","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696724","","5306.3","1","172721889","17444910789","SOS1817A15","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296204","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696723","","871.44","1","27726005","2800326505","SOS1817A14","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296203","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696722","","1176.95","1","84890853","4244542650","SOS1817A13","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296202","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696721","","1082.16","1","78309537","3915476850","SOS1817A12","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296201","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696720","","1264.69","1","90391160","4519558000","SOS1817A11","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296200","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696719","","1310.7","1","97268681","4863434050","SOS1817A2","OTHER","TRANSCRIPTOMIC","PCR"
"SRX19296199","riboseq of Rattus norvegicus: brain","Rattus norvegicus","Illumina NovaSeq 6000","McGill University","SRP421257","Ribosomes in RNA granules are stalled on mRNA sequences that are consensus sites for FMRP association","SRS16696718","","1668.02","1","124009234","6200461700","SOS1817A1","OTHER","TRANSCRIPTOMIC","PCR"
"SRX18711621","Ythdf2 KO mouse 753_RiboSeq library","Mus musculus","Illumina HiSeq 2000","The University of Arizona College of Medicine - Ph","SRP413236","Ythdf2 regulates cardiac remodeling through its m6A-mRNA target transcripts","SRS16152502","","553.71","1","30103936","1535300736","Ythdf2 KO mouse 753_RiboSeq library","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX18711620","Ythdf2 KO mouse 715_RiboSeq library","Mus musculus","Illumina HiSeq 2000","The University of Arizona College of Medicine - Ph","SRP413236","Ythdf2 regulates cardiac remodeling through its m6A-mRNA target transcripts","SRS16152501","","734.62","1","40115195","2045874945","Ythdf2 KO mouse 715_RiboSeq library","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX18711619","Ythdf2 KO mouse 714_RiboSeq library","Mus musculus","Illumina HiSeq 2000","The University of Arizona College of Medicine - Ph","SRP413236","Ythdf2 regulates cardiac remodeling through its m6A-mRNA target transcripts","SRS16152500","","734.79","1","39597929","2019494379","Ythdf2 KO mouse 714_RiboSeq library","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX18711618","WT_mouse 724_RiboSeq library","Mus musculus","Illumina HiSeq 2000","The University of Arizona College of Medicine - Ph","SRP413236","Ythdf2 regulates cardiac remodeling through its m6A-mRNA target transcripts","SRS16152499","","718.88","1","39012909","1989658359","WT_mouse 724_RiboSeq library","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX18711617","WT_mouse 718_RiboSeq library","Mus musculus","Illumina HiSeq 2000","The University of Arizona College of Medicine - Ph","SRP413236","Ythdf2 regulates cardiac remodeling through its m6A-mRNA target transcripts","SRS16152497","","723.08","1","39130410","1995650910","WT_mouse 718_RiboSeq library","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX18711616","WT_mouse 667_RiboSeq library","Mus musculus","Illumina HiSeq 2000","The University of Arizona College of Medicine - Ph","SRP413236","Ythdf2 regulates cardiac remodeling through its m6A-mRNA target transcripts","SRS16152498","","720.09","1","39265684","2002549884","WT_mouse 667_RiboSeq library","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX17858388","GSM6631693: GTML, Rapamycin, RNA, Rep3; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379397","","430.6","1","26757381","1364626431","GSM6631693","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858387","GSM6631692: GTML, Rapamycin, RNA, Rep2; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379396","","548.46","1","34123700","1740308700","GSM6631692","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858386","GSM6631691: GTML, Rapamycin, RNA, Rep1; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379395","","431.07","1","26558825","1354500075","GSM6631691","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858385","GSM6631690: GTML, Rapalink, RNA, Rep3; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379394","","540.51","1","33087703","1687472853","GSM6631690","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858384","GSM6631689: GTML, Rapalink, RNA, Rep2; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379393","","551.34","1","33624691","1714859241","GSM6631689","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858383","GSM6631688: GTML, Rapalink, RNA, Rep1; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379392","","579.53","1","35461176","1808519976","GSM6631688","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858382","GSM6631687: GTML, DMSO, RNA, Rep3; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379391","","599.57","1","36630596","1868160396","GSM6631687","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858381","GSM6631686: GTML, DMSO, RNA, Rep2; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379390","","502.59","1","30887029","1575238479","GSM6631686","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858380","GSM6631685: GTML, DMSO, RNA, Rep1; Mus musculus; RNA-Seq","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379389","","484.75","1","29678867","1513622217","GSM6631685","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17858379","GSM6631684: GTML, Rapamycin, RP, Rep3; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379388","","577.08","1","36075879","1839869829","GSM6631684","OTHER","TRANSCRIPTOMIC","other"
"SRX17858378","GSM6631683: GTML, Rapamycin, RP, Rep2; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379387","","457.12","1","28795380","1468564380","GSM6631683","OTHER","TRANSCRIPTOMIC","other"
"SRX17858377","GSM6631682: GTML, Rapamycin, RP, Rep1; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379386","","503.37","1","31783734","1620970434","GSM6631682","OTHER","TRANSCRIPTOMIC","other"
"SRX17858376","GSM6631681: GTML, Rapalink1, RP, Rep3; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379385","","520.11","1","32499547","1657476897","GSM6631681","OTHER","TRANSCRIPTOMIC","other"
"SRX17858375","GSM6631680: GTML, Rapalink1, RP, Rep2; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","UCSF","SRP402122","N-myc mediated translation control is a therapeutic vulnerability in medulloblastoma","SRS15379384","","522.27","1","32403943","1652601093","GSM6631680","OTHER","TRANSCRIPTOMIC","other"
