"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19846731","Ribo-seq of mESC: WT","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205633","","2195.96","1","66687716","5068266416","RPL39l_WT_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"ERX3958104","NextSeq 550 sequencing; Translation landscape of the enteric pathogen Salmonella enterica serova Typhimurium","Salmonella enterica subsp. enterica serovar Typhimurium","NextSeq 550","Department of Pathology, University of Cambridge","ERP120161","Translation landscape of the enteric pathogen Salmonella enterica serova Typhimurium","ERS4350858","","0","1","0","0","Sample 8_s","OTHER","TRANSCRIPTOMIC SINGLE CELL","unspecified"
"ERX3958103","NextSeq 550 sequencing; Translation landscape of the enteric pathogen Salmonella enterica serova Typhimurium","Salmonella enterica subsp. enterica serovar Typhimurium","NextSeq 550","Department of Pathology, University of Cambridge","ERP120161","Translation landscape of the enteric pathogen Salmonella enterica serova Typhimurium","ERS4350857","","0","1","0","0","Sample 7_s","OTHER","TRANSCRIPTOMIC SINGLE CELL","unspecified"
"ERX3958102","NextSeq 550 sequencing; Translation landscape of the enteric pathogen Salmonella enterica serova Typhimurium","Salmonella enterica subsp. enterica serovar Typhimurium","NextSeq 550","Department of Pathology, University of Cambridge","ERP120161","Translation landscape of the enteric pathogen Salmonella enterica serova Typhimurium","ERS4350856","","0","1","0","0","Sample 6_s","OTHER","TRANSCRIPTOMIC SINGLE CELL","unspecified"
"ERX3958101","NextSeq 550 sequencing; Translation landscape of the enteric pathogen Salmonella enterica serova Typhimurium","Salmonella enterica subsp. enterica serovar Typhimurium","NextSeq 550","Department of Pathology, University of Cambridge","ERP120161","Translation landscape of the enteric pathogen Salmonella enterica serova Typhimurium","ERS4350855","","0","1","0","0","Sample 5_s","OTHER","TRANSCRIPTOMIC SINGLE CELL","unspecified"
"SRX19844759","GSM7135558: ac4C,mRNA,IP; Mus musculus; RIP-Seq","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203870","","3090.36","1","30366996","9110098800","GSM7135558","RIP-Seq","TRANSCRIPTOMIC","other"
"SRX19844758","GSM7135557: ac4C,mRNA,IgG; Mus musculus; RIP-Seq","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203869","","2423.84","1","23860318","7158095400","GSM7135557","RIP-Seq","TRANSCRIPTOMIC","other"
"SRX19844757","GSM7135556: MII,ZcKO,rep3; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203867","","4388.75","1","38318878","11495663400","GSM7135556","OTHER","TRANSCRIPTOMIC","other"
"SRX19844756","GSM7135555: MII,ZcKO,rep2; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203868","","3453.78","1","30306188","9091856400","GSM7135555","OTHER","TRANSCRIPTOMIC","other"
"SRX19844755","GSM7135554: MII,ZcKO,rep1; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203866","","4415.29","1","38580732","11574219600","GSM7135554","OTHER","TRANSCRIPTOMIC","other"
"SRX19844754","GSM7135553: MII,WT,rep2; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203865","","2792.05","1","24534493","7360347900","GSM7135553","OTHER","TRANSCRIPTOMIC","other"
"SRX19844753","GSM7135552: MII,WT,rep1; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203864","","2857.73","1","25311701","7593510300","GSM7135552","OTHER","TRANSCRIPTOMIC","other"
"SRX19844752","GSM7135551: GV,ZcKO,rep3; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203863","","9728.42","1","85089574","25526872200","GSM7135551","OTHER","TRANSCRIPTOMIC","other"
"SRX19844751","GSM7135550: GV,ZcKO,rep2; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203862","","5777.81","1","52174176","15652252800","GSM7135550","OTHER","TRANSCRIPTOMIC","other"
"SRX19844750","GSM7135549: GV,ZcKO,rep1; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203861","","3361.76","1","29921592","8976477600","GSM7135549","OTHER","TRANSCRIPTOMIC","other"
"SRX19844749","GSM7135548: GV,WT,rep3; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203859","","3969.22","1","33960676","10188202800","GSM7135548","OTHER","TRANSCRIPTOMIC","other"
"SRX19844748","GSM7135547: GV,WT,rep2; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203858","","6515.9","1","57175283","17152584900","GSM7135547","OTHER","TRANSCRIPTOMIC","other"
"SRX19844747","GSM7135546: GV,WT,rep1; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Department of Life Sciences and Medicine, Universi","SRP430463","Maternal N-acetyltransferase 10 (NAT10) orchestrates oocyte meiotic cell-cycle progression and maturation in mice","SRS17203860","","5079.61","1","43997895","13199368500","GSM7135546","OTHER","TRANSCRIPTOMIC","other"
"SRX19347609","GSM7040012: Ribo-Seq M3cKO-2; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Guangdong Medical University","SRP422139","METTL3 mediated m6A mRNA methylation regulates neutrophil activation through targeting TLR4 signaling (Ribosome-Seq)","SRS16745138","","6183.88","1","96803945","14520591750","GSM7040012","OTHER","TRANSCRIPTOMIC","other"
"SRX19347608","GSM7040011: Ribo-Seq M3cKO-1; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Guangdong Medical University","SRP422139","METTL3 mediated m6A mRNA methylation regulates neutrophil activation through targeting TLR4 signaling (Ribosome-Seq)","SRS16745137","","4914.63","1","77216259","11582438850","GSM7040011","OTHER","TRANSCRIPTOMIC","other"
"SRX19347607","GSM7040010: Ribo-Seq WT-2; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Guangdong Medical University","SRP422139","METTL3 mediated m6A mRNA methylation regulates neutrophil activation through targeting TLR4 signaling (Ribosome-Seq)","SRS16745136","","6875.71","1","106000544","15900081600","GSM7040010","OTHER","TRANSCRIPTOMIC","other"
"SRX19347606","GSM7040009: Ribo-Seq WT-1; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Guangdong Medical University","SRP422139","METTL3 mediated m6A mRNA methylation regulates neutrophil activation through targeting TLR4 signaling (Ribosome-Seq)","SRS16745135","","4925.06","1","82561175","12384176250","GSM7040009","OTHER","TRANSCRIPTOMIC","other"
"SRX19759905","RiboSeq-WT-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125077","","11789.53","1","84610279","25383083700","RiboSeq-WT-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759904","RiboSeq-WT-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125076","","7164.28","1","52867492","15860247600","RiboSeq-WT-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759903","RNAseq-lpa1-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125075","","2000.71","1","22360854","6708256200","RNAseq-lpa1-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759902","RNAseq-lpa1-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125074","","1859.37","1","20684041","6205212300","RNAseq-lpa1-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759901","RNAseq-pam68-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125073","","1811.97","1","20320083","6096024900","RNAseq-pam68-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759900","RNAseq-pam68-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125072","","2030.67","1","23182604","6954781200","RNAseq-pam68-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759899","RNAseq-fpb1-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125071","","2064.12","1","23178239","6953471700","RNAseq-fpb1-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759898","RNAseq-fpb1-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125070","","1871.84","1","20909228","6272768400","RNAseq-fpb1-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759897","RiboSeq-pam68-3","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125069","","5615.99","1","60991459","18297437700","RiboSeq-pam68-3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759896","RiboSeq-fpb1-3","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125068","","4677.88","1","50185676","15055702800","RiboSeq-fpb1-3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759895","RiboSeq-WT-3","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125067","","4796.32","1","51829965","15548989500","RiboSeq-WT-3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759894","RiboSeq-lpa1-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125066","","10339.26","1","75494223","22648266900","RiboSeq-lpa1-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759893","RiboSeq-lpa1-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125065","","8790.68","1","63939014","19181704200","RiboSeq-lpa1-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759892","RiboSeq-pam68-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125064","","8189.2","1","59739942","17921982600","RiboSeq-pam68-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759891","RiboSeq-pam68-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125063","","8582.52","1","62762384","18828715200","RiboSeq-pam68-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759890","RiboSeq-fpb1-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125062","","11271.7","1","80579990","24173997000","RiboSeq-fpb1-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759889","RiboSeq-fpb1-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125061","","9133.12","1","66412194","19923658200","RiboSeq-fpb1-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759888","RNAseq-wt-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125060","","2129.82","1","23866902","7160070600","RNAseq-wt-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759887","RNAseq-wt-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125059","","2048.07","1","22886699","6866009700","RNAseq-wt-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19723781","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090562","","1948.34","1","17227675","5168302500","S3_4_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723780","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090561","","2405.73","1","22137398","6641219400","S3_3_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723779","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090560","","1227.2","1","11474391","3442317300","S3_2_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723778","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090559","","2610.09","1","23105064","6931519200","S3_6_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723777","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090558","","3104.6","1","27437507","8231252100","S3_5_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723775","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090556","","2402.98","1","21340531","6402159300","S1_6_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723774","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090555","","3369.63","1","29901212","8970363600","S1_5_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723773","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090553","","2458.75","1","22830723","6849216900","S3_1_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723772","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090554","","2702.56","1","24030025","7209007500","S2_6_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723771","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090552","","1571.22","1","13877374","4163212200","S2_5_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723770","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090551","","2574.13","1","22789119","6836735700","S2_4_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723769","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090550","","1957.86","1","17775076","5332522800","S2_3_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723768","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090549","","682.92","1","6426922","1928076600","S2_2_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723767","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090548","","1650.63","1","14916621","4474986300","S2_1_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723763","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090544","","3574.25","1","31785772","9535731600","S1_4_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723762","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090543","","2167.99","1","19890856","5967256800","S1_3_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723761","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090542","","2063.06","1","18937221","5681166300","S1_2_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723759","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090539","","3216.67","1","29176255","8752876500","S1_1_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19676922","GSM7099038: WT, rep1; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Mitochondrial Medicine and Biology, Harry Perkins ","SRP427313","Mistranslation and developmental defects in an allelic series of tRNA isodecoder deletions [Ribo-seq]","SRS17047055","","6525.8","1","65817291","19745187300","GSM7099038","OTHER","TRANSCRIPTOMIC","other"
"SRX19676921","GSM7099039: WT, rep2; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Mitochondrial Medicine and Biology, Harry Perkins ","SRP427313","Mistranslation and developmental defects in an allelic series of tRNA isodecoder deletions [Ribo-seq]","SRS17047054","","6103.44","1","61003353","18301005900","GSM7099039","OTHER","TRANSCRIPTOMIC","other"
"SRX19676920","GSM7099040: WT, rep3; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Mitochondrial Medicine and Biology, Harry Perkins ","SRP427313","Mistranslation and developmental defects in an allelic series of tRNA isodecoder deletions [Ribo-seq]","SRS17047053","","5846.26","1","58298070","17489421000","GSM7099040","OTHER","TRANSCRIPTOMIC","other"
"SRX19676919","GSM7099041: KO, rep1; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Mitochondrial Medicine and Biology, Harry Perkins ","SRP427313","Mistranslation and developmental defects in an allelic series of tRNA isodecoder deletions [Ribo-seq]","SRS17047052","","5801.68","1","57587412","17276223600","GSM7099041","OTHER","TRANSCRIPTOMIC","other"
"SRX19676918","GSM7099042: KO, rep2; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Mitochondrial Medicine and Biology, Harry Perkins ","SRP427313","Mistranslation and developmental defects in an allelic series of tRNA isodecoder deletions [Ribo-seq]","SRS17047051","","6350.24","1","62894278","18868283400","GSM7099042","OTHER","TRANSCRIPTOMIC","other"
"SRX19676917","GSM7099043: KO, rep3; Mus musculus; OTHER","Mus musculus","Illumina NovaSeq 6000","Mitochondrial Medicine and Biology, Harry Perkins ","SRP427313","Mistranslation and developmental defects in an allelic series of tRNA isodecoder deletions [Ribo-seq]","SRS17047050","","5649.63","1","56638581","16991574300","GSM7099043","OTHER","TRANSCRIPTOMIC","other"
