Run,Assay Type,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,AvgSpotLen,Bases,Bytes,BioProject,SRA Study,source_name,GEO_Accession (exp),TISSUE,Library Name,Genotype,TREATMENT,Strain,Cell_line,Cell_type,Age,Cultivar,BioSampleModel,molecule_subtype,sex,REPLICATE,experiment_type,Sample_Name,LINE,Isolate,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,dev_stage,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,External_Id,Submitter_Id,SAMPLE_TYPE,Ecotype,Fraction,Broker_name,common_name,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,TIME_POINT,Developmental_stage,Organism_part,BIOMATERIAL_PROVIDER,AssemblyName,growth_condition,Collection_Date,intentional_duplicate (run),Stage,Molecule,protocol,Experimental_Factor:_protocol (exp),PHENOTYPE,agent,genotype/variation,BREED,growth_protocol,disease,library_type,harvest_condition,Experimental_Factor:_organism (exp),Experimental_Factor:_organism_part (exp),performer,replicate_type,used_library?,Condition,Passages,Replica,TEMP,collected_by,Experimental_Factor:_environmental_stress (exp),Experimental_Factor:_time (exp),Batch,shRNA,Experimental_Factor:_genotype (exp),Biological_Replicate,sub_species,environmental_stress,Hours_post_infection,Individual,media,TIME,rna_fraction,rna_type,Isolation_Source,assay,Timepoint,sequencing,cell_subtype,genetic_modification,Harvest_method,rt_enzyme,total_rna_selection_method,stress,Experimental_Factor:_compound (exp),HOST,virus_strain,ip_antibody,siRNA,gender,substrain,material,disease_stage,rna_population,metastatic_capacity,clip_antibody,Lat_Lon,cell_line/type,Experimental_Factor:_growth_condition (exp),PASSAGE,manipulation,culture_method,drug_treatment,Growth_rate,tissue_type,CULTURE_COLLECTION,ethinicity,Experimental_Factor:_dose (exp),tissue_source,transgene,BARCODE,Experimental_Factor:_cell_line (exp),chloroplast_donor_strain,chloroplast_genome
SRR15906298,OTHER,SAMN21443809,GEO,public,SRX12196737,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580323,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2021-09-15T16:24:00Z,1,150,4639823250,1845770033,PRJNA763584,SRP337255,larvae,GSM5580323,,,trl-1(cas1078),starved for 6 days and refed with food for 30 min,GOU4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906299,OTHER,SAMN21443810,GEO,public,SRX12196738,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580324,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2021-09-15T16:28:00Z,1,150,4581207000,1828230191,PRJNA763584,SRP337255,larvae,GSM5580324,,,trl-1(cas1078),starved for 6 days and refed with food for 30 min,GOU4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906300,OTHER,SAMN21443811,GEO,public,SRX12196739,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580325,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2021-09-15T16:34:00Z,1,150,5701263150,2329982239,PRJNA763584,SRP337255,larvae,GSM5580325,,,trl-1(cas1078),starved for 6 days and refed with food for 60 min,GOU4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906301,OTHER,SAMN21443812,GEO,public,SRX12196740,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580326,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-09-15T16:32:00Z,1,150,6016844400,2458283325,PRJNA763584,SRP337255,larvae,GSM5580326,,,trl-1(cas1078),starved for 6 days and refed with food for 60 min,GOU4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15882954,OTHER,SAMN21421331,GUANGXI UNIVERSITY,public,SRX12173818,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Bos taurus,ILLUMINA,2021-12-30T00:00:00Z,Cattle-Ribo-seq,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2021-09-14T05:40:00Z,1,300,27736363500,12741289895,PRJNA763037,SRP336917,,,muscle,Trans-2,,,,,,26 months,,Model organism or animal,,male,,,,,Collect immediately within 10 minutes after slaughter,,,,,adult,,,,,,,,,,,,,,,,,,,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources\, Guangxi University\, Nanning\, China.",,,,,,,,,,,,Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15882955,OTHER,SAMN21421330,GUANGXI UNIVERSITY,public,SRX12173817,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Bubalus bubalis,ILLUMINA,2021-12-30T00:00:00Z,Buffalo-Ribo-seq,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2021-09-14T05:01:00Z,1,300,33602440800,14974249922,PRJNA763037,SRP336917,,,muscle,Trans-1,,,,,,28 months,,Model organism or animal,,male,,,,,Collect immediately within 10 minutes after slaughter,,,,,adult,,,,,,,,,,,,,,,,,,,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources\, Guangxi University\, Nanning\, China.",,,,,,,,,,,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15882956,RNA-Seq,SAMN21421329,GUANGXI UNIVERSITY,public,SRX12173816,Illumina HiSeq 4000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Bos taurus,ILLUMINA,2021-12-30T00:00:00Z,Cattle-RNA-seq,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",2021-09-14T04:20:00Z,1,300,15865391100,4993291408,PRJNA763037,SRP336917,,,muscle,RNA-2,,,,,,26 months,,Model organism or animal,,male,,,,,Collect immediately after slaughter,,,,,adult,,,,,,,,,,,,,,,,,,,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources\, Guangxi University\, Nanning\, China.",,,,,,,,,,,,Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15882957,RNA-Seq,SAMN21421328,GUANGXI UNIVERSITY,public,SRX12173815,Illumina HiSeq 4000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Bubalus bubalis,ILLUMINA,2021-12-30T00:00:00Z,Buffalo-RNA-seq,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2021-09-14T04:19:00Z,1,300,12485327100,4002264781,PRJNA763037,SRP336917,,,muscle,RNA-1,,,,,,28 months,,Model organism or animal,,male,,,,,Collect immediately after slaughter,,,,,adult,,,,,,,,,,,,,,,,,,,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources\, Guangxi University\, Nanning\, China.",,,,,,,,,,,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14714407,OTHER,SAMN19516460,GEO,public,SRX11051740,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354278,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2021-06-02T21:33:00Z,1,51,1820158533,724813942,PRJNA734658,SRP322410,MEF Ribo-seq Control,GSM5354278,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714408,OTHER,SAMN19516459,GEO,public,SRX11051741,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354279,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2021-06-02T21:34:00Z,1,51,1943193483,748886114,PRJNA734658,SRP322410,MEF Ribo-seq control,GSM5354279,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714409,OTHER,SAMN19516458,GEO,public,SRX11051742,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354280,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2021-06-02T21:31:00Z,1,51,1537793616,620466375,PRJNA734658,SRP322410,MEF Ribo-seq eIF4A1 knockdown,GSM5354280,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714410,OTHER,SAMN19516457,GEO,public,SRX11051743,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354281,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2021-06-02T21:33:00Z,1,51,2110818702,824687864,PRJNA734658,SRP322410,MEF Ribo-seq eIF4A1 knockdown,GSM5354281,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714411,OTHER,SAMN19516456,GEO,public,SRX11051744,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354282,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-06-02T21:33:00Z,1,51,1621435605,646825546,PRJNA734658,SRP322410,MEF Ribo-seq PateamineA treatment 2h,GSM5354282,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714412,OTHER,SAMN19516455,GEO,public,SRX11051745,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354283,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-06-02T21:29:00Z,1,51,1501136244,604713085,PRJNA734658,SRP322410,MEF Ribo-seq PateamineA treatment 8h,GSM5354283,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714413,OTHER,SAMN19516454,GEO,public,SRX11051746,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354284,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2021-06-02T21:32:00Z,1,51,1469711421,570622231,PRJNA734658,SRP322410,MEF Ribo-seq Hippuristanol treatment 2h,GSM5354284,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714414,OTHER,SAMN19516453,GEO,public,SRX11051747,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354285,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-06-02T21:41:00Z,1,51,2687549652,1041989840,PRJNA734658,SRP322410,MEF Ribo-seq Hippuristanol treatment 8h,GSM5354285,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714415,OTHER,SAMN19516452,GEO,public,SRX11051748,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354286,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2021-06-02T21:35:00Z,1,85,3813954335,1803982796,PRJNA734658,SRP322410,MEF 80S ribosome-seq Control,GSM5354286,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714416,OTHER,SAMN19516451,GEO,public,SRX11051749,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354287,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-06-02T21:43:00Z,1,85,4111905685,1948397755,PRJNA734658,SRP322410,MEF 80S ribosome-seq eIF4A1 knockdown,GSM5354287,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714417,OTHER,SAMN19516450,GEO,public,SRX11051750,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354288,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2021-06-02T21:48:00Z,1,85,4140960300,1952388449,PRJNA734658,SRP322410,MEF eIF3 associated ribo-seq Control,GSM5354288,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714418,OTHER,SAMN19516449,GEO,public,SRX11051751,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354289,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2021-06-02T21:37:00Z,1,85,3360125905,1571785805,PRJNA734658,SRP322410,MEF eIF3 associated ribo-seq Control,GSM5354289,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
SRR14714419,OTHER,SAMN19516448,GEO,public,SRX11051752,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-11-25T00:00:00Z,GSM5354290,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2021-06-02T21:43:00Z,1,85,3646306115,1731322298,PRJNA734658,SRP322410,MEF 40S ribo-seq Control,GSM5354290,,,,,C57BL/6J,,,,,,Ribosome associated RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse embryonic fibroblasts,,,,,,,,,,,,,,,,
