Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,source_name,GEO_Accession (exp),Library Name,TISSUE,Strain,Cell_type,Cell_line,TREATMENT,Age,Genotype,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Name,Submitter_Id,common_name,Broker_name,sex,BioSampleModel,molecule_subtype,REPLICATE,Organism_part,disease,Fraction,infect,inhibitors,internal_animal_id,Cultivar,Developmental_stage,Experimental_Factor:_infect (exp),sirna,Isolate,protocol,TIME_POINT,dev_stage,injection_route,SAMPLE_TYPE,BIOMATERIAL_PROVIDER,Experimental_Factor:_genotype (exp),rna_processing,sequencing_protocol,assay,Biological_Repeat,compound,Experimental_Factor:_protocol (exp),experiment_type,LINE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,molecule_type,analyte_type,biospecimen_repository,biospecimen_repository_sample_id,body_site,Consent_Code,Ecotype,gap_accession,study_design,study_name,subject_is_affected,submitted_subject_id,BREED,Experimental_Factor:_compound (exp),Experimental_Factor:_MHV-A59 (exp),Experimental_Factor:_cycloheximide (exp),stress_type,agent,study_disease,growth_condition,rna_fraction,spike-in,oldname,tissue_source,genotype/variation,AssemblyName,BioSample_ID,Clone,collected_by,gender,rpl10_form,disease_stage,ethinicity,Collection_Date,Experimental_Factor:_1 (exp),Experimental_Factor:_harringtonine_+_cycloheximide (exp),cell_subtype,environmental_history,Experimental_Factor:_8 (exp),Experimental_Factor:_Mock (exp),Experimental_Factor:_sampling_time_point (exp),Molecule,profiling,rna_population,sample_treatment,Stage,strategy,viral_strain,assay_type,assay_types,genetic_modification,substrain,Day,library_strategy,Experimental_Factor:_dose (exp),experimental_factor:_infection,stimulation,transduced,assayed_molecule,Experimental_Factor:_stimulus (exp),Experimental_Factor:_strain (exp),HOST,Isolation_Source,Replicates,Replication,treatment_of_lysate
ERR3804462,OTHER,76,1741713584,PRJEB36148,SAMEA6465086,616063561,Nerea Irigoyen,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",ERX3806352,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-05-19T00:00:00Z,2021-12-22T03:06:00Z,1,SAMEA6465086,ERP119301,,,5hpi_mock_1_s,,,fibroblast,17cl1 (RRID:CVCL_VT75),,,BALB/c,2021-05-18,2020-11-09,2021-05-18,2020-01-10,SAMEA6465086,"Division of Virology\, Department of Pathology\, University of Cambridge","Division of Virology\, Department of Pathology\, University of Cambridge",2020-11-09T04:04:33Z,2020-01-10T13:35:57Z,public,E-MTAB-8650:5hpi_mock_1,E-MTAB-8650:5hpi_mock_1,house mouse,ArrayExpress,,,,,,normal,,mock,,,,spontaneously immortalised cell line,mock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
ERR3804463,OTHER,76,1797205364,PRJEB36148,SAMEA6465087,621891931,Nerea Irigoyen,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",ERX3806353,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-05-19T00:00:00Z,2021-12-22T03:04:00Z,1,SAMEA6465087,ERP119301,,,5hpi_mock_2_s,,,fibroblast,17cl1 (RRID:CVCL_VT75),,,BALB/c,2021-05-18,2020-11-09,2021-05-18,2020-01-10,SAMEA6465087,"Division of Virology\, Department of Pathology\, University of Cambridge","Division of Virology\, Department of Pathology\, University of Cambridge",2020-11-09T04:04:33Z,2020-01-10T13:35:57Z,public,E-MTAB-8650:5hpi_mock_2,E-MTAB-8650:5hpi_mock_2,house mouse,ArrayExpress,,,,,,normal,,mock,,,,spontaneously immortalised cell line,mock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
ERR3804464,OTHER,76,1964749568,PRJEB36148,SAMEA6465088,663517066,Nerea Irigoyen,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",ERX3806354,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-05-19T00:00:00Z,2021-12-22T03:15:00Z,1,SAMEA6465088,ERP119301,,,8hpi_infected_s,,,fibroblast,17cl1 (RRID:CVCL_VT75),,,BALB/c,2021-05-18,2020-11-09,2021-05-18,2020-01-10,SAMEA6465088,"Division of Virology\, Department of Pathology\, University of Cambridge","Division of Virology\, Department of Pathology\, University of Cambridge",2020-11-09T04:04:33Z,2020-01-10T13:35:57Z,public,E-MTAB-8650:8hpi_infected,E-MTAB-8650:8hpi_infected,house mouse,ArrayExpress,,,,,,normal,,MHV-A59,,,,spontaneously immortalised cell line,MHV-A59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
ERR3804465,OTHER,76,1472453716,PRJEB36148,SAMEA6465089,492867770,Nerea Irigoyen,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",ERX3806355,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-05-19T00:00:00Z,2021-12-22T03:04:00Z,1,SAMEA6465089,ERP119301,,,8hpi_mock_s,,,fibroblast,17cl1 (RRID:CVCL_VT75),,,BALB/c,2021-05-18,2020-11-09,2021-05-18,2020-01-10,SAMEA6465089,"Division of Virology\, Department of Pathology\, University of Cambridge","Division of Virology\, Department of Pathology\, University of Cambridge",2020-11-09T04:04:33Z,2020-01-10T13:35:57Z,public,E-MTAB-8650:8hpi_mock,E-MTAB-8650:8hpi_mock,house mouse,ArrayExpress,,,,,,normal,,mock,,,,spontaneously immortalised cell line,mock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
ERR3804466,OTHER,76,2267193088,PRJEB36148,SAMEA6465090,849194204,Nerea Irigoyen,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",ERX3806356,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-05-19T00:00:00Z,2021-12-22T03:11:00Z,1,SAMEA6465090,ERP119301,,,tunicamycin_treated_s,,,fibroblast,17cl1 (RRID:CVCL_VT75),,,BALB/c,2021-05-18,2020-11-09,2021-05-18,2020-01-10,SAMEA6465090,"Division of Virology\, Department of Pathology\, University of Cambridge","Division of Virology\, Department of Pathology\, University of Cambridge",2020-11-09T04:04:33Z,2020-01-10T13:35:57Z,public,E-MTAB-8650:tunicamycin_treated,E-MTAB-8650:tunicamycin_treated,house mouse,ArrayExpress,,,,,,normal,,,,,,spontaneously immortalised cell line,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tunicamycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
SRR12874340,OTHER,27,2308037,PRJNA670552,SAMN16512998,657212,DUKE-NUS SCHOOL OF MEDICINE,public,"bam,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9340363,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-09T00:00:00Z,2020-10-21T23:41:00Z,1,Riboseq_3.bam,SRP288077,,,Riboseq3,NA,,Hepatocytes,Ribosome profiling,,NA,,,,,,,,,,,,,,,,NA,Human,,,,,,,,,,,,,3,,,,,Ribosome profiling,Dr. Widjaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRCH38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12874341,OTHER,27,6035312,PRJNA670552,SAMN16512997,1632728,DUKE-NUS SCHOOL OF MEDICINE,public,"bam,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9340362,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-09T00:00:00Z,2020-10-21T23:42:00Z,1,Riboseq_2.bam,SRP288077,,,Riboseq2,NA,,Hepatocytes,Ribosome profiling,,NA,,,,,,,,,,,,,,,,NA,Human,,,,,,,,,,,,,2,,,,,Ribosome profiling,Dr. Widjaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRCH38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12874342,OTHER,27,3054214,PRJNA670552,SAMN16512996,839978,DUKE-NUS SCHOOL OF MEDICINE,public,"run.zq,sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9340361,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-09T00:00:00Z,2020-10-21T23:42:00Z,1,Riboseq_1.bam,SRP288077,,,Riboseq1,NA,,Hepatocytes,Ribosome profiling,,NA,,,,,,,,,,,,,,,,NA,Human,,,,,,,,,,,,,1,,,,,Ribosome profiling,Dr. Widjaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRCH38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR16097929,RNA-Seq,300,7191823500,PRJNA767014,SAMN21880090,2379569388,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX12383996,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-07-25T00:00:00Z,2021-09-28T14:09:00Z,1,GSM5600230,SRP339104,Primary CD4 T cells,GSM5600230,,spleen,C57BL/6,,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),8 weeks,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR16097930,RNA-Seq,300,7125239400,PRJNA767014,SAMN21880091,2262448334,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX12383997,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-07-25T00:00:00Z,2021-09-28T13:37:00Z,1,GSM5600231,SRP339104,Primary CD4 T cells,GSM5600231,,spleen,C57BL/6,,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),8 weeks,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR16097931,RNA-Seq,300,7450313700,PRJNA767014,SAMN21880092,2364092113,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX12383998,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-07-25T00:00:00Z,2021-09-28T14:10:00Z,1,GSM5600232,SRP339104,Primary CD4 T cells,GSM5600232,,spleen,C57BL/6,,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),8 weeks,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR16097932,RNA-Seq,300,7092597000,PRJNA767014,SAMN21880093,2238073905,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX12383999,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-07-25T00:00:00Z,2021-09-28T14:08:00Z,1,GSM5600233,SRP339104,Primary CD4 T cells,GSM5600233,,spleen,C57BL/6,,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),8 weeks,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR16097933,RNA-Seq,300,7171606500,PRJNA767014,SAMN21880094,2271500229,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX12384000,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-07-25T00:00:00Z,2021-09-28T14:06:00Z,1,GSM5600234,SRP339104,Primary CD4 T cells,GSM5600234,,spleen,C57BL/6,,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),8 weeks,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR16097934,RNA-Seq,300,7803820500,PRJNA767014,SAMN21880095,2472910522,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX12384001,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-07-25T00:00:00Z,2021-09-28T14:14:00Z,1,GSM5600235,SRP339104,Primary CD4 T cells,GSM5600235,,spleen,C57BL/6,,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),8 weeks,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR16097935,RNA-Seq,289,7456556221,PRJNA767014,SAMN21880096,2904029590,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX12384002,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-07-25T00:00:00Z,2021-09-28T14:16:00Z,1,GSM5600236,SRP339104,Primary CD4 T cells,GSM5600236,,spleen,C57BL/6,,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),8 weeks,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR16097936,RNA-Seq,290,7472118868,PRJNA767014,SAMN21880097,2924675211,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX12384003,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-07-25T00:00:00Z,2021-09-28T14:11:00Z,1,GSM5600237,SRP339104,Primary CD4 T cells,GSM5600237,,spleen,C57BL/6,,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),8 weeks,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
